gindex,gtype,location,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,cost-2nd,cost-1st,cost-nl,SUcost,SDcost,RU,RD,UPtime,Dntime,Zone name
43,Gas,7,0,0,0,0,0,1,0,149,29.8,0,57.25,375,4000,0,400,400,4,6,RI
44,Gas,8,0,0,0,0,0,1,0,141.1,28.22,0,57.25,320,5000,0,400,400,6,5,SEMASS
45,Gas,4,0,0,0,0,0,1,0,141,28.2,0,95,200,7250,0,400,400,3,1,WCMASS
46,Gas,8,0,0,0,0,0,1,0,104.9,20.98,0,57.5,300,2500,0,400,400,8,8,SEMASS
47,Gas,4,0,0,0,0,0,1,0,104,20.8,0,100,250,7750,0,400,400,6,6,WCMASS
48,Gas,6,0,0,0,0,0,1,0,43.9,8.78,0,57.03,612.84,325.75,0,400,400,1,1,CT
49,Gas,6,0,0,0,0,0,1,0,43.5,8.7,0,57.03,612.84,325.75,0,400,400,1,1,CT
50,Gas,6,0,0,0,0,0,1,0,43.5,8.7,0,57.03,612.84,325.75,0,400,400,1,1,CT
51,Gas,6,0,0,0,0,0,1,0,42.6,8.52,0,57.03,612.84,325.75,0,400,400,1,1,CT
52,Gas,4,0,0,0,0,0,1,0,275,55,0,375,0,0,0,400,400,1,1,WCMASS
53,Gas,7,0,0,0,0,0,1,0,300,60,0,400,0,0,0,400,400,1,1,RI
54,Gas,7,0,0,0,0,0,1,0,325,65,0,350,0,0,0,400,400,1,1,RI
55,Oil,6,0,0,0,0,0,1,0,225,78.75,0,325,0,0,0,400,400,1,1,CT
56,Gas,4,0,0,0,0,0,1,0,150,30,0,375,0,0,0,400,400,1,1,WCMASS
57,Gas,4,0,0,0,0,0,1,0,175,35,0,350,0,0,0,400,400,1,1,WCMASS
58,Gas,1,0,0,0,0,0,1,0,175,35,0,300,0,0,0,400,400,1,1,ME
59,Gas,1,0,0,0,0,0,1,0,85,17,0,290,0,0,0,400,400,1,1,ME
60,Gas,1,0,0,0,0,0,1,0,55,11,0,310,0,0,0,400,400,1,1,ME
61,Gas,1,0,0,0,0,0,1,0,150,30,0,325,0,0,0,400,400,1,1,ME
62,Gas,1,0,0,0,0,0,1,0,200,40,0,350,0,0,0,400,400,1,1,ME
63,Gas,1,0,0,0,0,0,1,0,150,30,0,340,0,0,0,400,400,1,1,ME
64,Gas,1,0,0,0,0,0,1,0,100,20,0,375,0,0,0,400,400,1,1,ME
65,Gas,1,0,0,0,0,0,1,0,125,25,0,310,0,0,0,400,400,1,1,ME
66,Wind,1,0,0,0,0,0,1,0,221.2,0,0,0,0,0,0,0,0,0,0,ME
67,Wind,2,0,0,0,0,0,1,0,140.5,0,0,0,0,0,0,0,0,0,0,NH
68,Wind,3,0,0,0,0,0,1,0,39,0,0,0,0,0,0,0,0,0,0,VT
69,Wind,4,0,0,0,0,0,1,0,134.1,0,0,0,0,0,0,0,0,0,0,WCMASS
70,Wind,5,0,0,0,0,0,1,0,179.5,0,0,0,0,0,0,0,0,0,0,NEMA
71,Wind,6,0,0,0,0,0,1,0,132.5,0,0,0,0,0,0,0,0,0,0,CT
72,Wind,7,0,0,0,0,0,1,0,85,0,0,0,0,0,0,0,0,0,0,RI
73,Wind,8,0,0,0,0,0,1,0,368.1,0,0,0,0,0,0,0,0,0,0,SEMA
74,PV,1,0,0,0,0,0,1,0,41.4,0,0,0,0,0,0,0,0,0,0,ME
75,PV,2,0,0,0,0,0,1,0,83.84,0,0,0,0,0,0,0,0,0,0,NH
76,PV,3,0,0,0,0,0,1,0,306.3,0,0,0,0,0,0,0,0,0,0,VT
77,PV,4,0,0,0,0,0,1,0,860.78,0,0,0,0,0,0,0,0,0,0,WCMASS
78,PV,5,0,0,0,0,0,1,0,331.21,0,0,0,0,0,0,0,0,0,0,NEMA
79,PV,6,0,0,0,0,0,1,0,464.34,0,0,0,0,0,0,0,0,0,0,CT
80,PV,7,0,0,0,0,0,1,0,116.66,0,0,0,0,0,0,0,0,0,0,RI
81,PV,8,0,0,0,0,0,1,0,679.27,0,0,0,0,0,0,0,0,0,0,SEMA
