gindex,gtype,location,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,cost-2nd,cost-1st,cost-nl,SUcost,SDcost,RU,RD,UPtime,Dntime,Zone name
42,Gas,7,0,0,0,0,0,1,0,247.8,49.56,0,22.28,699.7,11112.19,0,400,400,8,5,RI
43,Gas,7,0,0,0,0,0,1,0,247.8,49.56,0,22.18,699.7,11112.19,0,400,400,8,5,RI
44,Gas,1,0,0,0,0,0,1,0,244.9,48.98,0,52,0,62500,0,400,400,12,12,ME
45,Gas,8,0,0,0,0,0,1,0,244.8,48.96,0,58,475,12000,0,400,400,12,8,SEMASS
46,Gas,7,0,0,0,0,0,1,0,238.6,47.72,0,57.5,485,12000,0,400,400,8,6,RI
47,Gas,4,0,0,0,0,0,1,0,238.3,47.66,0,25,250,7500,0,400,400,6,6,WCMASS
48,Gas,7,0,0,0,0,0,1,0,236.4,47.28,0,56.5,495,12000,0,400,400,8,6,RI
49,Gas,1,0,0,0,0,0,1,0,153.5,30.7,0,90,250,5000,0,400,400,17,12,ME
50,Gas,7,0,0,0,0,0,1,0,149,29.8,0,56.5,250,7250,0,400,400,8,6,RI
51,Gas,7,0,0,0,0,0,1,0,149,29.8,0,56.75,350,4000,0,400,400,4,6,RI
52,Gas,7,0,0,0,0,0,1,0,149,29.8,0,57,325,3500,0,400,400,4,6,RI
53,Gas,7,0,0,0,0,0,1,0,149,29.8,0,57.25,375,4000,0,400,400,4,6,RI
54,Gas,8,0,0,0,0,0,1,0,141.1,28.22,0,57.25,320,5000,0,400,400,6,5,SEMASS
55,Gas,4,0,0,0,0,0,1,0,141,28.2,0,95,200,7250,0,400,400,3,1,WCMASS
56,Gas,8,0,0,0,0,0,1,0,104.9,20.98,0,57.5,300,2500,0,400,400,8,8,SEMASS
57,Gas,4,0,0,0,0,0,1,0,104,20.8,0,100,250,7750,0,400,400,6,6,WCMASS
58,Gas,6,0,0,0,0,0,1,0,43.9,8.78,0,57.03,612.84,325.75,0,400,400,1,1,CT
59,Gas,6,0,0,0,0,0,1,0,43.5,8.7,0,57.03,612.84,325.75,0,400,400,1,1,CT
60,Gas,6,0,0,0,0,0,1,0,43.5,8.7,0,57.03,612.84,325.75,0,400,400,1,1,CT
61,Gas,6,0,0,0,0,0,1,0,42.6,8.52,0,57.03,612.84,325.75,0,400,400,1,1,CT
62,Gas,4,0,0,0,0,0,1,0,275,55,0,375,0,0,0,400,400,1,1,WCMASS
63,Gas,7,0,0,0,0,0,1,0,300,60,0,400,0,0,0,400,400,1,1,RI
64,Gas,7,0,0,0,0,0,1,0,325,65,0,350,0,0,0,400,400,1,1,RI
65,Oil,6,0,0,0,0,0,1,0,225,78.75,0,325,0,0,0,400,400,1,1,CT
66,Gas,4,0,0,0,0,0,1,0,150,30,0,375,0,0,0,400,400,1,1,WCMASS
67,Gas,4,0,0,0,0,0,1,0,175,35,0,350,0,0,0,400,400,1,1,WCMASS
68,Gas,1,0,0,0,0,0,1,0,175,35,0,300,0,0,0,400,400,1,1,ME
69,Gas,1,0,0,0,0,0,1,0,85,17,0,290,0,0,0,400,400,1,1,ME
70,Gas,1,0,0,0,0,0,1,0,55,11,0,310,0,0,0,400,400,1,1,ME
71,Gas,1,0,0,0,0,0,1,0,150,30,0,325,0,0,0,400,400,1,1,ME
72,Gas,1,0,0,0,0,0,1,0,200,40,0,350,0,0,0,400,400,1,1,ME
73,Gas,1,0,0,0,0,0,1,0,150,30,0,340,0,0,0,400,400,1,1,ME
74,Gas,1,0,0,0,0,0,1,0,100,20,0,375,0,0,0,400,400,1,1,ME
75,Gas,1,0,0,0,0,0,1,0,125,25,0,310,0,0,0,400,400,1,1,ME
76,Wind,1,0,0,0,0,0,1,0,221.2,0,0,0,0,0,0,0,0,0,0,ME
77,Wind,2,0,0,0,0,0,1,0,140.5,0,0,0,0,0,0,0,0,0,0,NH
78,Wind,3,0,0,0,0,0,1,0,39,0,0,0,0,0,0,0,0,0,0,VT
79,Wind,4,0,0,0,0,0,1,0,134.1,0,0,0,0,0,0,0,0,0,0,WCMASS
80,Wind,5,0,0,0,0,0,1,0,179.5,0,0,0,0,0,0,0,0,0,0,NEMA
81,Wind,6,0,0,0,0,0,1,0,132.5,0,0,0,0,0,0,0,0,0,0,CT
82,Wind,7,0,0,0,0,0,1,0,85,0,0,0,0,0,0,0,0,0,0,RI
83,Wind,8,0,0,0,0,0,1,0,368.1,0,0,0,0,0,0,0,0,0,0,SEMA
84,PV,1,0,0,0,0,0,1,0,41.4,0,0,0,0,0,0,0,0,0,0,ME
85,PV,2,0,0,0,0,0,1,0,83.84,0,0,0,0,0,0,0,0,0,0,NH
86,PV,3,0,0,0,0,0,1,0,306.3,0,0,0,0,0,0,0,0,0,0,VT
87,PV,4,0,0,0,0,0,1,0,860.78,0,0,0,0,0,0,0,0,0,0,WCMASS
88,PV,5,0,0,0,0,0,1,0,331.21,0,0,0,0,0,0,0,0,0,0,NEMA
89,PV,6,0,0,0,0,0,1,0,464.34,0,0,0,0,0,0,0,0,0,0,CT
90,PV,7,0,0,0,0,0,1,0,116.66,0,0,0,0,0,0,0,0,0,0,RI
91,PV,8,0,0,0,0,0,1,0,679.27,0,0,0,0,0,0,0,0,0,0,SEMA
